fila,campo,valor_original,valor_nuevo,motivo
104,f_03,1,5,inversión: item negativo recodificado
104,f_05,1,5,inversión: item negativo recodificado
105,f_01,1,5,inversión: item negativo recodificado
105,f_02,2,4,inversión: item negativo recodificado
105,f_03,1,5,inversión: item negativo recodificado
105,f_05,1,5,inversión: item negativo recodificado
106,f_01,4,2,inversión: item negativo recodificado
106,f_02,4,2,inversión: item negativo recodificado
106,f_03,4,2,inversión: item negativo recodificado
106,f_05,2,4,inversión: item negativo recodificado
107,f_01,1,5,inversión: item negativo recodificado
107,f_02,1,5,inversión: item negativo recodificado
107,f_03,2,4,inversión: item negativo recodificado
107,f_05,1,5,inversión: item negativo recodificado
108,f_01,4,2,inversión: item negativo recodificado
108,f_02,5,1,inversión: item negativo recodificado
108,f_03,4,2,inversión: item negativo recodificado
108,f_05,5,1,inversión: item negativo recodificado
109,f_01,2,4,inversión: item negativo recodificado
109,f_02,2,4,inversión: item negativo recodificado
109,f_03,4,2,inversión: item negativo recodificado
109,f_05,2,4,inversión: item negativo recodificado
110,f_01,1,5,inversión: item negativo recodificado
110,f_02,1,5,inversión: item negativo recodificado
110,f_03,1,5,inversión: item negativo recodificado
110,f_05,1,5,inversión: item negativo recodificado
111,f_01,2,4,inversión: item negativo recodificado
111,f_02,2,4,inversión: item negativo recodificado
111,f_03,2,4,inversión: item negativo recodificado
111,f_05,2,4,inversión: item negativo recodificado
112,f_01,4,2,inversión: item negativo recodificado
112,f_02,4,2,inversión: item negativo recodificado
112,f_03,2,4,inversión: item negativo recodificado
112,f_05,2,4,inversión: item negativo recodificado
113,f_01,4,2,inversión: item negativo recodificado
113,f_02,4,2,inversión: item negativo recodificado
113,f_03,4,2,inversión: item negativo recodificado
113,f_05,4,2,inversión: item negativo recodificado
114,f_01,2,4,inversión: item negativo recodificado
114,f_02,2,4,inversión: item negativo recodificado
114,f_03,2,4,inversión: item negativo recodificado
114,f_05,2,4,inversión: item negativo recodificado
115,edad,Masculino,,"columna desplazada: Edad vacía, sexo en columna edad"
115,f_01,1,5,inversión: item negativo recodificado
115,f_02,1,5,inversión: item negativo recodificado
115,f_03,1,5,inversión: item negativo recodificado
115,f_05,1,5,inversión: item negativo recodificado
116,f_01,2,4,inversión: item negativo recodificado
116,f_02,2,4,inversión: item negativo recodificado
116,f_03,2,4,inversión: item negativo recodificado
116,f_05,4,2,inversión: item negativo recodificado
117,f_01,5,1,inversión: item negativo recodificado
117,f_02,1,5,inversión: item negativo recodificado
117,f_03,1,5,inversión: item negativo recodificado
117,f_05,1,5,inversión: item negativo recodificado
118,f_01,1,5,inversión: item negativo recodificado
118,f_02,2,4,inversión: item negativo recodificado
118,f_03,1,5,inversión: item negativo recodificado
118,f_05,1,5,inversión: item negativo recodificado
119,f_01,4,2,inversión: item negativo recodificado
119,f_02,4,2,inversión: item negativo recodificado
119,f_03,4,2,inversión: item negativo recodificado
119,f_05,2,4,inversión: item negativo recodificado
120,f_01,1,5,inversión: item negativo recodificado
120,f_02,1,5,inversión: item negativo recodificado
120,f_03,2,4,inversión: item negativo recodificado
120,f_05,1,5,inversión: item negativo recodificado
121,f_01,4,2,inversión: item negativo recodificado
121,f_02,5,1,inversión: item negativo recodificado
121,f_03,4,2,inversión: item negativo recodificado
121,f_05,5,1,inversión: item negativo recodificado
122,f_01,2,4,inversión: item negativo recodificado
122,f_02,2,4,inversión: item negativo recodificado
122,f_03,4,2,inversión: item negativo recodificado
122,f_05,2,4,inversión: item negativo recodificado
123,f_01,1,5,inversión: item negativo recodificado
123,f_02,1,5,inversión: item negativo recodificado
123,f_03,1,5,inversión: item negativo recodificado
123,f_05,1,5,inversión: item negativo recodificado
124,f_01,2,4,inversión: item negativo recodificado
124,f_02,2,4,inversión: item negativo recodificado
124,f_03,2,4,inversión: item negativo recodificado
124,f_05,2,4,inversión: item negativo recodificado
125,f_01,4,2,inversión: item negativo recodificado
125,f_02,4,2,inversión: item negativo recodificado
125,f_03,2,4,inversión: item negativo recodificado
125,f_05,2,4,inversión: item negativo recodificado
126,f_01,4,2,inversión: item negativo recodificado
126,f_02,4,2,inversión: item negativo recodificado
126,f_03,4,2,inversión: item negativo recodificado
126,f_05,4,2,inversión: item negativo recodificado
127,f_01,2,4,inversión: item negativo recodificado
127,f_02,2,4,inversión: item negativo recodificado
127,f_03,2,4,inversión: item negativo recodificado
127,f_05,2,4,inversión: item negativo recodificado
128,edad,Masculino,,"columna desplazada: Edad vacía, sexo en columna edad"
128,f_01,1,5,inversión: item negativo recodificado
128,f_02,1,5,inversión: item negativo recodificado
128,f_03,1,5,inversión: item negativo recodificado
128,f_05,1,5,inversión: item negativo recodificado
129,f_01,2,4,inversión: item negativo recodificado
129,f_02,2,4,inversión: item negativo recodificado
129,f_03,2,4,inversión: item negativo recodificado
129,f_05,4,2,inversión: item negativo recodificado
130,f_01,5,1,inversión: item negativo recodificado
130,f_02,1,5,inversión: item negativo recodificado
130,f_03,1,5,inversión: item negativo recodificado
130,f_05,1,5,inversión: item negativo recodificado
131,f_01,1,5,inversión: item negativo recodificado
131,f_02,2,4,inversión: item negativo recodificado
131,f_03,1,5,inversión: item negativo recodificado
131,f_05,1,5,inversión: item negativo recodificado
132,f_01,4,2,inversión: item negativo recodificado
132,f_02,4,2,inversión: item negativo recodificado
132,f_03,4,2,inversión: item negativo recodificado
132,f_05,2,4,inversión: item negativo recodificado
133,f_01,1,5,inversión: item negativo recodificado
133,f_02,1,5,inversión: item negativo recodificado
133,f_03,2,4,inversión: item negativo recodificado
133,f_05,1,5,inversión: item negativo recodificado
134,f_01,4,2,inversión: item negativo recodificado
134,f_02,5,1,inversión: item negativo recodificado
134,f_03,4,2,inversión: item negativo recodificado
134,f_05,5,1,inversión: item negativo recodificado
135,f_01,2,4,inversión: item negativo recodificado
135,f_02,2,4,inversión: item negativo recodificado
135,f_03,4,2,inversión: item negativo recodificado
135,f_05,2,4,inversión: item negativo recodificado
136,f_01,1,5,inversión: item negativo recodificado
136,f_02,1,5,inversión: item negativo recodificado
136,f_03,1,5,inversión: item negativo recodificado
136,f_05,1,5,inversión: item negativo recodificado
137,f_01,2,4,inversión: item negativo recodificado
137,f_02,2,4,inversión: item negativo recodificado
137,f_03,2,4,inversión: item negativo recodificado
137,f_05,2,4,inversión: item negativo recodificado
